"","X","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","climate_classification","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","contributor","database","study","spatial_blocks","duration_in_years"
"289",289,330.1,"United States, Santa Barbara",-119.3681,34.0109,"2003-04-11 21:00:00","2013-04-13 12:00:00","Subtropical",3,10.609722728931,87712,78406,4.2137127154414e-08,3.10947360889511e-08,3.119405e-08,9.0062196e-08,8.83267295638889e-08,7.35297774666422e-08,7.3004528e-08,1.610976896e-07,1.10963187570652e-07,9.53837891637077e-08,9.67203245e-08,1.876072682e-07,1.35891639e-07,1.18903784552425e-07,1.3737478e-07,2.114640062e-07,3.086904987e-07,3.02862183135634e-07,3.085153725e-07,3.988910101e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",10.0126712328767
"290",290,330.2,"United States, Santa Barbara",-119.3681,34.0109,"2003-04-11 21:00:00","2013-04-13 12:00:00","Subtropical",9,11.4602334914265,87712,77660,5.10153660835144e-08,3.62525009069581e-08,3.5867679e-08,1.13606229e-07,9.71480966006006e-08,7.84168269466107e-08,7.5362779e-08,1.845556638e-07,1.19228338116959e-07,9.9294100702681e-08,1.00486985e-07,2.16820243e-07,1.4670258539759e-07,1.25154380415235e-07,1.45573848e-07,2.479724798e-07,3.12963311222222e-07,3.09210808870951e-07,3.14103065e-07,3.813420976e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",10.0126712328767
"291",291,331.1,"United States, Santa Barbara",-120.312,34.0396,"2005-01-13 19:00:00","2007-04-24 20:00:00","Subtropical",3,15.7023964704703,19946,16814,1.87988934011461e-08,1.42746791481308e-08,1.3575544e-08,3.29158474e-08,4.69545432033898e-08,3.81123946382762e-08,3.4744896e-08,8.0290826e-08,6.25442518387097e-08,5.23490400033008e-08,4.9883445e-08,1.11603099e-07,8.62577852666667e-08,7.14241404969798e-08,6.8287712e-08,1.374379586e-07,1.88730584e-07,1.88730584e-07,1.88730584e-07,1.88730584e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",2.27682648401826
"292",292,331.2,"United States, Santa Barbara",-120.312,34.0396,"2005-01-13 19:00:00","2007-04-24 20:00:00","Subtropical",9,4.87817106186704,19946,18973,2.6471934392132e-08,1.8364084479886e-08,1.6768004e-08,5.22084066e-08,5.57097880194175e-08,4.67988270852637e-08,4.3756754e-08,1.031208794e-07,7.00747863584906e-08,6.09520467828719e-08,6.0762447e-08,1.269039348e-07,9.124116616e-08,7.85907852610073e-08,7.6095696e-08,1.53751379e-07,2.549567295e-07,2.44325875977453e-07,2.549567295e-07,3.132404507e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",2.27682648401826
"293",293,332.1,"United States, Santa Barbara",-120.0322,34.0379,"2005-04-21 19:00:00","2007-04-25 15:00:00","Subtropical",3,3.49173905637881,17613,16998,2.84289153903819e-08,2.03939452695114e-08,1.9727972e-08,5.8996806e-08,5.92538713894737e-08,4.7344073276709e-08,4.1434756e-08,1.006660656e-07,7.3673879e-08,6.15623106202391e-08,5.3661826e-08,1.244467431e-07,9.1439444875e-08,7.9579959330898e-08,7.3735242e-08,1.500188575e-07,2.727689345e-07,2.63038467756574e-07,2.727689345e-07,3.305334557e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",2.01050228310502
"294",294,332.2,"United States, Santa Barbara",-120.0322,34.0379,"2005-04-21 19:00:00","2007-04-25 15:00:00","Subtropical",9,3.49173905637881,17613,16998,3.62532078656294e-08,2.56623897962525e-08,2.5483711e-08,7.7508171e-08,6.59709618947368e-08,5.4750646705333e-08,5.3033026e-08,1.148603704e-07,7.90069175833333e-08,6.82135897596652e-08,6.4426805e-08,1.337662429e-07,9.21009149583333e-08,8.21281880038595e-08,7.7412642e-08,1.275872367e-07,2.34056379e-07,2.26880546392899e-07,2.34056379e-07,2.800658126e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",2.01050228310502
"295",295,333.1,"United States, Santa Barbara",-120.0829,34.0246,"2009-01-15 18:00:00","2012-10-03 12:00:00","Subtropical",3,15.0692503761938,32563,27656,1.66256975778938e-08,1.35900068569053e-08,1.3632338e-08,3.12425236e-08,4.391067947e-08,3.7740654712944e-08,3.8777234e-08,6.76468234000001e-08,6.227647626e-08,5.40879008513741e-08,5.301288e-08,1.048209748e-07,8.59279604e-08,7.64569898704559e-08,7.9774709e-08,1.40089095e-07,1.89619377666667e-07,1.85303408228931e-07,2.01574293e-07,2.24397673e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",3.71723744292237
"296",296,333.2,"United States, Santa Barbara",-120.0829,34.0246,"2009-01-15 18:00:00","2012-10-03 12:00:00","Subtropical",9,1.4310720756687,32563,32097,1.88703328853933e-08,1.44283782064198e-08,1.446894e-08,3.73108212e-08,4.62872823602151e-08,4.04495990868932e-08,4.330393e-08,7.41704585e-08,6.05634255913979e-08,5.38068887999021e-08,5.8798478e-08,9.9710419e-08,7.86202108636364e-08,7.13818801870599e-08,7.74918025e-08,1.227711982e-07,1.90724490333333e-07,1.86516519757902e-07,2.00635244e-07,2.260073648e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",3.71723744292237
"297",297,334.1,"United States, Santa Barbara",-120.3523,34.0592,"2008-07-08 04:00:00","2013-08-19 14:00:00","Subtropical",3,22.8307651138416,44843,34605,1.94294429116214e-08,1.36415268039491e-08,1.2460141e-08,4.38752618e-08,4.95212547258065e-08,4.11883423768816e-08,4.23073375e-08,9.3105257e-08,6.36771961075269e-08,5.53947619269238e-08,5.4334666e-08,1.166690564e-07,7.92190101395349e-08,7.12335316229758e-08,6.4152916e-08,1.40361306e-07,1.8207339425e-07,1.81360985383022e-07,1.82138975e-07,1.987912552e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",5.1189497716895
"298",298,334.2,"United States, Santa Barbara",-120.3523,34.0592,"2008-07-08 04:00:00","2013-06-05 08:00:00","Subtropical",9,14.3806492088203,43037,36848,2.77451857681254e-08,1.83854485529556e-08,1.8436296e-08,6.3174353e-08,6.2131140483871e-08,5.24416879221802e-08,5.4079863e-08,1.130853395e-07,7.53965806236559e-08,6.61989554137348e-08,6.6299517e-08,1.235215234e-07,8.9053752255814e-08,8.01478323665542e-08,7.3779952e-08,1.548351636e-07,1.8209293025e-07,1.81370547557603e-07,1.82274795e-07,1.986380734e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",4.91278538812785
"299",299,335.1,"United States, Santa Barbara",-119.796,33.9601,"2004-09-09 22:00:00","2005-02-24 20:00:00","Subtropical",3,6.10270404366162,4031,3785,4.61407652179487e-08,2.60137592068764e-08,2.55215965e-08,1.1478679e-07,1.023876304e-07,7.63910312345746e-08,9.35871675e-08,1.872812881e-07,1.11666871e-07,8.77554594672952e-08,9.8174499e-08,1.78140396e-07,1.40377791e-07,1.10746614118767e-07,1.11019787e-07,2.57880011e-07,NA,NA,NA,NA,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",0.460045662100457
"300",300,335.2,"United States, Santa Barbara",-119.796,33.9601,"2004-09-09 22:00:00","2005-02-24 20:00:00","Subtropical",9,6.07789630364674,4031,3786,5.56846855448718e-08,3.10245076479899e-08,2.983108e-08,1.250267295e-07,1.102064558e-07,8.36697782551183e-08,1.054926975e-07,1.952631621e-07,1.21381084363636e-07,9.87698486805801e-08,1.03196115e-07,1.85829564e-07,1.46482597e-07,1.17954013985927e-07,1.16680177e-07,2.628740994e-07,NA,NA,NA,NA,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",0.460045662100457
"301",301,336.1,"United States, Santa Barbara",-119.8244,34.0587,"2000-04-18 17:00:00","2005-02-24 17:00:00","Subtropical",3,11.7101026954621,42553,37570,2.4473197992283e-08,1.7918857900468e-08,1.7888013e-08,5.39824960000001e-08,6.49681270535714e-08,5.38455427506442e-08,5.97820485e-08,1.197801066e-07,8.62149965402299e-08,7.37269781850221e-08,8.2940734e-08,1.443381234e-07,1.13294303767442e-07,9.84324606054103e-08,1.10886734e-07,1.743960846e-07,2.562282745e-07,2.5388406932121e-07,2.6101806e-07,2.894546993e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",4.85753424657534
"302",302,336.2,"United States, Santa Barbara",-119.8244,34.0587,"2000-04-18 17:00:00","2005-02-24 17:00:00","Subtropical",9,9.70084365379644,42553,38425,3.21037382080453e-08,2.25035554364413e-08,2.2456303e-08,6.8940374e-08,7.23347331774194e-08,6.03664931924569e-08,6.7330979e-08,1.29456893e-07,9.17908550927835e-08,7.91982583640301e-08,8.7115457e-08,1.536589224e-07,1.15295840708333e-07,1.01170661065195e-07,1.21691602e-07,1.782018451e-07,2.488064895e-07,2.4740624580565e-07,2.533359035e-07,2.744814325e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",4.85753424657534
"303",303,337.1,"United States, Santa Barbara",-119.3604,34.0174,"2000-06-28 17:00:00","2004-06-27 15:00:00","Subtropical",4,12.9998002226091,35039,30484,3.46603696743265e-08,2.49702028396322e-08,2.37230725e-08,7.5032933e-08,8.2160698452381e-08,6.74411363516502e-08,7.4764412e-08,1.605460955e-07,1.04085485753846e-07,8.86416864030609e-08,1.02736355e-07,1.845164592e-07,1.27489181969697e-07,1.12398368296702e-07,1.21907699e-07,2.003197896e-07,2.5543125675e-07,2.52750008648452e-07,2.542769155e-07,2.956508004e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",3.99977168949772
"304",304,337.2,"United States, Santa Barbara",-119.3604,34.0174,"2000-06-28 17:00:00","2004-06-27 15:00:00","Subtropical",12,13.0511715516995,35039,30466,5.55066089111111e-08,3.92409809583025e-08,3.7806965e-08,1.268951592e-07,1.07308337690476e-07,8.99028260791467e-08,1.017901405e-07,1.94339016e-07,1.30212060707692e-07,1.12937230191862e-07,1.34498815e-07,2.048624904e-07,1.49852477393939e-07,1.3259599710991e-07,1.46746754e-07,2.117759788e-07,2.62209647e-07,2.59370180702647e-07,2.592178965e-07,3.049385427e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",3.99977168949772
"305",305,337.3,"United States, Santa Barbara",-119.3604,34.0174,"2001-02-02 18:00:00","2004-06-27 15:00:00","Subtropical",8,9.02894365724263,29782,27093,4.47519795232143e-08,3.10202920170416e-08,2.910446e-08,1.027048142e-07,8.82455543053435e-08,7.16890417739373e-08,7.9732417e-08,1.75753216e-07,1.06317166333333e-07,8.9878154634136e-08,9.92146625e-08,1.91211374e-07,1.35026544090909e-07,1.18824110894272e-07,1.38751951e-07,2.071797814e-07,2.52839753666667e-07,2.49788006307923e-07,2.46935906e-07,2.925094644e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",3.39965753424658
"306",306,338.1,"United States, Santa Barbara",-119.8548,33.9666,"2005-01-14 16:00:00","2013-02-01 08:00:00","Subtropical",3,6.7906396609641,70553,65762,4.54804359923049e-08,3.26178735542077e-08,3.3529606e-08,9.78062634e-08,9.2393770745614e-08,7.69323596014525e-08,8.02412605e-08,1.670561661e-07,1.11852711803468e-07,9.56760386663686e-08,1.01949448e-07,1.900905586e-07,1.40806218512195e-07,1.23490619256891e-07,1.36909201e-07,2.270290073e-07,3.051507405e-07,3.01542106229153e-07,2.98371256e-07,3.582054642e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",8.05388127853881
"307",307,338.2,"United States, Santa Barbara",-119.8548,33.9666,"2005-01-14 16:00:00","2013-06-01 08:00:00","Subtropical",9,8.82028515789904,73433,66956,5.29856366648668e-08,3.80840506289144e-08,3.9138052e-08,1.121390579e-07,1.03407831889241e-07,8.71720925266483e-08,9.337268e-08,1.783987335e-07,1.22325473826087e-07,1.06048957257157e-07,1.17219511e-07,2.0077088e-07,1.50837696025974e-07,1.34351553989399e-07,1.48222549e-07,2.388849064e-07,3.01008542375e-07,2.9723808510044e-07,2.921294775e-07,3.586235009e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",8.38264840182648
"308",308,339.1,"United States, Santa Barbara",-119.6967,34.0307,"2000-04-18 19:00:00","2013-05-03 08:00:00","Subtropical",3,7.39969554338507,114302,105844,2.52649903254438e-08,1.8899556272365e-08,1.9691289e-08,5.12210298e-08,6.0981845758427e-08,5.21106565278132e-08,5.21663655e-08,1.094948969e-07,8.26942978608059e-08,7.19375592724107e-08,7.3273764e-08,1.439549372e-07,1.09202765424242e-07,9.67839429490005e-08,9.60150965e-08,1.842208311e-07,2.88654122923077e-07,2.8572319617443e-07,2.8569513e-07,3.372084782e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0480593607306
"309",309,339.2,"United States, Santa Barbara",-119.6967,34.0307,"2000-04-18 19:00:00","2013-02-02 08:00:00","Subtropical",9,10.459952560147,112142,100412,2.98515324481766e-08,2.15465218168916e-08,2.2759642e-08,6.34781242e-08,7.0042942120614e-08,6.01617602263648e-08,6.05610305e-08,1.258954155e-07,9.09212485932203e-08,7.97114168013883e-08,8.13503435e-08,1.612970895e-07,1.17063690185841e-07,1.04918050300768e-07,1.08751881e-07,1.862329146e-07,2.87174772545455e-07,2.85414164085651e-07,2.8515391e-07,3.35233785e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",12.8014840182648
"310",310,340.1,"United States, Santa Barbara",-119.9416,34.066,"2005-01-13 22:00:00","2013-05-10 04:00:00","Subtropical",3,5.67067568123534,72919,68784,2.06572034770899e-08,1.58037730903664e-08,1.6210292e-08,4.098686e-08,5.49582316452514e-08,4.67112037154302e-08,4.8514198e-08,9.57674592e-08,7.34644517988827e-08,6.35156682153319e-08,6.4506016e-08,1.290687794e-07,9.93437716976744e-08,8.67196463051768e-08,8.49348125e-08,1.618115365e-07,2.73058361125e-07,2.68520084078571e-07,2.701513945e-07,3.221031059e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",8.32397260273973
"311",311,340.2,"United States, Santa Barbara",-119.9416,34.066,"2005-01-13 22:00:00","2013-05-10 04:00:00","Subtropical",9,9.11010847652875,72919,66276,2.57649261266788e-08,1.85602758702471e-08,1.9032712e-08,5.5281885e-08,5.8409858537037e-08,4.88963206142099e-08,4.93396865e-08,1.037173911e-07,7.59334874506173e-08,6.48169031486673e-08,6.3639658e-08,1.353272006e-07,9.73193987721519e-08,8.44650565031476e-08,8.9786479e-08,1.734742978e-07,2.5926347475e-07,2.54141442752954e-07,2.63279035e-07,2.941366008e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",8.32397260273973
"312",312,341.1,"United States, Santa Barbara",-119.56,34.0549,"2000-04-27 20:00:00","2013-05-10 04:00:00","Subtropical",3,14.9104149708094,114249,97214,2.64566204572066e-08,1.92331710069057e-08,1.8939938e-08,5.5088585e-08,6.28304411296703e-08,5.16920197154235e-08,5.1069424e-08,1.214106056e-07,7.92615864345992e-08,6.75032518339031e-08,6.6467229e-08,1.442598048e-07,1.01724443844828e-07,8.86894310679034e-08,8.91524845e-08,1.75162477e-07,2.75011417545455e-07,2.70135021061329e-07,2.68732114e-07,3.5640592e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0420091324201
"313",313,341.2,"United States, Santa Barbara",-119.56,34.0549,"2000-04-27 20:00:00","2013-05-10 04:00:00","Subtropical",9,11.9099510717818,114249,100642,3.43266842381979e-08,2.37169498743299e-08,2.3532622e-08,7.6282698e-08,7.59840292674897e-08,6.19850616571504e-08,6.1669986e-08,1.479845085e-07,9.39728997091633e-08,7.97221260134389e-08,8.0870671e-08,1.75104786e-07,1.15689299195122e-07,1.01289048299757e-07,1.13756341e-07,1.908210142e-07,2.76674783818182e-07,2.71820241871827e-07,2.72537005e-07,3.60584428e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0420091324201
"314",314,342.1,"United States, Santa Barbara",-119.5384,34.0116,"2000-04-27 19:00:00","2013-05-12 11:00:00","Subtropical",3,19.1303967455492,114305,92438,3.80839293181937e-08,2.9071179497726e-08,2.8896415e-08,7.7505615e-08,8.9097640748366e-08,7.38927059175469e-08,7.6739535e-08,1.59327826e-07,1.15590667754717e-07,9.76294964482868e-08,1.04242787e-07,1.988652266e-07,1.457342226875e-07,1.26625927527242e-07,1.433045035e-07,2.360586278e-07,3.099408739e-07,3.05010686693902e-07,2.998996385e-07,3.98229494e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.048401826484
"315",315,342.2,"United States, Santa Barbara",-119.5384,34.0116,"2000-04-27 19:00:00","2013-05-12 11:00:00","Subtropical",9,15.3702812650365,114305,96736,4.86174158075773e-08,3.57299316967259e-08,3.66954545e-08,1.047269853e-07,9.76545601168091e-08,8.23424551945853e-08,8.8953295e-08,1.72482978e-07,1.23366914927778e-07,1.05695076557675e-07,1.198127125e-07,2.154809885e-07,1.4738099952809e-07,1.29493673602439e-07,1.45353241e-07,2.356207446e-07,3.205150523e-07,3.16589023170486e-07,3.235072635e-07,3.927976272e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.048401826484
"316",316,343.1,"United States, Santa Barbara",-120.3455,34.057,"2003-05-21 19:00:00","2008-06-29 15:00:00","Subtropical",3,47.5804470646033,44781,23474,2.28531564727646e-08,1.63618160813272e-08,1.568e-08,4.80362788e-08,5.97539179886364e-08,4.93055642699701e-08,4.8966002e-08,1.10474181e-07,7.57191001333333e-08,6.44432980196181e-08,6.5577838e-08,1.364623556e-07,1.02121410095238e-07,8.92605693364606e-08,9.3176648e-08,1.6413805e-07,2.512149365e-07,2.4801974767815e-07,2.512149365e-07,2.831663905e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",5.11187214611872
"317",317,343.2,"United States, Santa Barbara",-120.3455,34.057,"2003-04-26 12:00:00","2008-06-29 15:00:00","Subtropical",9,49.2398871948533,45388,23039,2.92916292029289e-08,1.96400468548228e-08,1.99892105e-08,6.70281515e-08,6.63941974193548e-08,5.49325347414267e-08,5.5039573e-08,1.204063956e-07,8.33868044893617e-08,7.04252900240137e-08,7.6626912e-08,1.337111852e-07,1.07536530954545e-07,9.16763860815538e-08,1.029491865e-07,2.029332726e-07,2.503280585e-07,2.47464114299013e-07,2.503280585e-07,2.805342725e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",5.18116438356164
"318",318,344.1,"United States, Santa Barbara",-120.3311,34.0159,"2003-04-27 10:00:00","2013-05-02 08:00:00","Subtropical",3,4.51982549464068,87791,83823,3.77341573866705e-08,2.87589630420361e-08,2.9532057e-08,7.6678959e-08,7.5537116218543e-08,6.40858441216035e-08,6.2475254e-08,1.383027258e-07,9.34738885991379e-08,8.12010835674242e-08,7.99886495e-08,1.641340072e-07,1.13218264963964e-07,1.00435516500207e-07,1.00394136e-07,1.84301109e-07,2.472488007e-07,2.41696692592017e-07,2.31151864e-07,2.986258684e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",10.0216894977169
"319",319,344.2,"United States, Santa Barbara",-120.3311,34.0159,"2003-04-27 00:00:00","2013-05-02 08:00:00","Subtropical",9,3.70041343492671,87801,84552,4.24576561740245e-08,3.2819961684627e-08,3.4353087e-08,8.4072711e-08,7.86085283012821e-08,6.81178319315718e-08,6.76418705e-08,1.409265e-07,9.52865723891213e-08,8.43761515261785e-08,8.1047325e-08,1.645609984e-07,1.14782159780702e-07,1.03554050780845e-07,1.032776995e-07,1.890223436e-07,2.422556449e-07,2.36474469230916e-07,2.294429265e-07,2.813640105e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",10.0228310502283
"320",320,345.1,"United States, Santa Barbara",-120.08,34.0261,"2003-04-17 01:00:00","2009-01-15 18:00:00","Subtropical",3,54.050140822722,50418,23167,1.84081959217935e-08,1.48843285121545e-08,1.4967392e-08,3.41409886e-08,4.62216675e-08,4.09995111617294e-08,4.48750925e-08,7.69751963e-08,6.30865389411765e-08,5.65357988328925e-08,5.8309096e-08,1.09222106e-07,8.479363788e-08,7.67831770348135e-08,8.0021957e-08,1.444092976e-07,2.36276414e-07,2.35652837539554e-07,2.36276414e-07,2.500001796e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",5.75525114155251
"321",321,345.2,"United States, Santa Barbara",-120.08,34.0261,"2003-04-17 03:00:00","2009-01-15 18:00:00","Subtropical",9,54.0403840050778,50416,23171,2.38707859551616e-08,1.69430942216662e-08,1.676126e-08,4.97278068e-08,5.67876214489796e-08,4.75628906225826e-08,5.00094295e-08,9.96498509e-08,7.25175405686274e-08,6.30822171923007e-08,6.413668e-08,1.29987174e-07,8.7178717e-08,7.81310643872801e-08,8.2635296e-08,1.412525764e-07,2.298354485e-07,2.29004733648649e-07,2.298354485e-07,2.454542137e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",5.75502283105023
"322",322,346.1,"United States, Santa Barbara",-120.1278,33.8958,"2003-04-17 05:00:00","2012-10-02 19:00:00","Subtropical",3,4.15988620885015,82959,79508,6.22250958384849e-08,4.36514121399687e-08,4.69537165e-08,1.329013356e-07,1.01410582926437e-07,8.29474069530123e-08,8.7865911e-08,1.892086206e-07,1.16728272986547e-07,9.8933281816268e-08,1.02631296e-07,2.20366189e-07,1.36279560579439e-07,1.1821689695947e-07,1.19979553e-07,2.456604416e-07,2.78702211444444e-07,2.73650525605298e-07,2.66346579e-07,3.332564018e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",9.47009132420091
"323",323,346.2,"United States, Santa Barbara",-120.1278,33.8958,"2003-03-06 03:00:00","2013-06-01 08:00:00","Subtropical",9,5.09992647550297,89766,85188,6.81884684179147e-08,5.05918481364177e-08,5.5780988e-08,1.376655112e-07,1.03330225942478e-07,8.73394212217475e-08,9.0523472e-08,1.860996931e-07,1.17555935458874e-07,1.02486678332987e-07,1.06522528e-07,2.15546158e-07,1.33183009045455e-07,1.1862916904399e-07,1.181553425e-07,2.286383678e-07,2.706078022e-07,2.66292313885208e-07,2.664770055e-07,3.063258126e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",10.2471461187215
"324",324,347.1,"United States, Santa Barbara",-119.9101,34.051,"2000-04-27 16:00:00","2013-05-20 16:00:00","Subtropical",3,11.2903366665211,114505,101577,3.44462097575973e-08,2.27722276564021e-08,2.2268758e-08,7.86794241e-08,8.02951046292373e-08,6.30490782835949e-08,6.5947018e-08,1.510058706e-07,9.61941989061225e-08,7.88027122929793e-08,8.0258985e-08,1.753448878e-07,1.20315134277311e-07,1.02620480437604e-07,1.11539029e-07,2.102854904e-07,2.855860607e-07,2.80763975288517e-07,2.808153355e-07,3.564387949e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0712328767123
"325",325,347.2,"United States, Santa Barbara",-119.9101,34.051,"2000-04-27 16:00:00","2013-05-20 16:00:00","Subtropical",9,14.3399851534867,114505,98085,4.35843222686347e-08,2.72006729971791e-08,2.7641105e-08,1.03258317e-07,9.30607458486352e-08,7.30559007545536e-08,7.9144979e-08,1.705590364e-07,1.08480329061611e-07,8.92744069159272e-08,9.6291237e-08,1.92209175e-07,1.32513121819048e-07,1.13917817178436e-07,1.29585514e-07,2.255076706e-07,2.70704507363636e-07,2.64091498959973e-07,2.77730603e-07,3.44227225e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0712328767123
"326",326,348.1,"United States, Santa Barbara",-119.67,33.9783,"2000-04-27 18:00:00","2013-05-10 04:00:00","Subtropical",3,7.15967475120568,114251,106071,4.73339821622727e-08,3.57802959186877e-08,3.7405586e-08,9.66842173e-08,9.77662770655431e-08,8.19624647414229e-08,9.01255325e-08,1.768870503e-07,1.18975334032727e-07,1.02353016220256e-07,1.13039399e-07,1.93835059e-07,1.44640063133333e-07,1.27552599191928e-07,1.4656217e-07,2.328335692e-07,3.22529170846154e-07,3.18816650897636e-07,3.15526668e-07,3.979151344e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0422374429224
"327",327,348.2,"United States, Santa Barbara",-119.67,33.9783,"2000-04-27 18:00:00","2013-05-10 04:00:00","Subtropical",9,5.99031955956622,114251,107407,5.84943527935368e-08,4.23248890440286e-08,4.4943018e-08,1.24130091e-07,1.054070935875e-07,8.74720941216067e-08,9.8219106e-08,1.922548309e-07,1.24881043020833e-07,1.06874139461081e-07,1.153732995e-07,2.126471883e-07,1.48549527014286e-07,1.31096333768642e-07,1.468898345e-07,2.439866009e-07,3.15802327615385e-07,3.11711125017274e-07,3.04063249e-07,3.919248274e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",13.0422374429224
"328",328,349.1,"United States, Santa Barbara",-119.7527,33.9594,"2000-04-27 17:00:00","2004-10-22 16:00:00","Subtropical",3,7.48932275777913,39336,36390,5.5609737510978e-08,4.19730742644914e-08,4.7774519e-08,1.089407012e-07,1.1031175567033e-07,9.27544360636955e-08,1.1045071e-07,1.900456168e-07,1.27945351845361e-07,1.11214641340313e-07,1.25420041e-07,2.097993718e-07,1.55566118270833e-07,1.39875651891484e-07,1.55522195e-07,2.360459718e-07,2.8913177375e-07,2.88104056425541e-07,2.872766605e-07,3.158183963e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",4.49029680365297
"329",329,349.2,"United States, Santa Barbara",-119.7527,33.9594,"2000-04-27 17:00:00","2004-10-22 16:00:00","Subtropical",9,7.40034573927191,39336,36425,6.85190759368351e-08,5.07711912479567e-08,6.02057155e-08,1.339542321e-07,1.19734106557377e-07,1.0016740312935e-07,1.21366072e-07,2.027058706e-07,1.35640121865979e-07,1.17247070917973e-07,1.30425804e-07,2.20462635e-07,1.60064750166667e-07,1.42692312994851e-07,1.624719455e-07,2.38914084e-07,2.8696894375e-07,2.85948267412707e-07,2.871220085e-07,3.11957685e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",4.49029680365297
"330",330,350.1,"United States, Santa Barbara",-119.3958,34.0087,"2000-06-28 19:00:00","2013-04-13 03:00:00","Subtropical",3,15.2399810905069,112113,95027,2.48164442877789e-08,1.84017020847002e-08,1.83059445e-08,4.98577633000001e-08,6.5714034926893e-08,5.50351775659033e-08,5.5203921e-08,1.193824364e-07,8.75390631573604e-08,7.56309539988657e-08,7.3786376e-08,1.610724808e-07,1.15580911375e-07,1.02496249306458e-07,1.06781833e-07,2.06263096e-07,2.92750884e-07,2.89752314743806e-07,2.845164835e-07,3.591885965e-07,"Miller Bob","Santa Barbara Coastal LTER","Miller Bob","spatial_block_61",12.7981735159817
